1312395783.40988	90	88.1	84.76	"Control "
1312395784.36586	90	88.43	85.82	"Silicon"
1312395785.32187	90	88.46	86.22	
1312395786.27787	90	88.6	86.31	
1312395787.23785	90	88.66	86.17	
1312395788.19786	90	88.68	85.91	
1312395789.15385	90	88.73	85.57	
1312395790.10987	90	88.8	85.43	
1312395791.06586	90	88.83	85.33	
1312395792.14986	90	88.87	85.21	
1312395793.10985	90	88.9	84.76	
1312395794.06586	90	88.95	84.68	
1312395795.02186	90	88.97	84.63	
1312395795.97788	90	88.98	84.59	
1312395796.93743	90	89.05	84.51	
1312395797.89786	90	89.05	84.53	
1312395798.85388	90	89.08	84.34	
1312395799.80988	90	89.1	84.08	
1312395800.76587	90	89.12	84.1	
1312395801.83078	90	89.15	84.03	
1312395802.78984	90	89.2	84.06	
1312395803.74586	90	89.22	84.11	
1312395804.70186	90	89.24	84.16	
1312395805.66185	90	89.27	84.15	
1312395806.62187	90	89.3	84.17	
1312395807.5779	90	89.32	84.26	
1312395808.5339	90	89.36	84.29	
1312395809.48986	90	89.38	84.37	
1312395810.44587	90	89.39	84.2	
1312395811.40185	90	89.39	84.04	
1312395812.48989	90	89.45	84.11	
1312395813.4459	90	89.48	84.16	
1312395814.4019	90	89.5	84.09	
1312395815.3579	90	89.51	84.22	
1312395816.31386	90	89.52	84.21	
1312395817.27385	90	89.53	84.38	
1312395818.23387	90	89.55	84.29	
1312395819.18986	90	89.58	84.18	
1312395820.1459	90	89.57	84.11	
1312395821.1019	90	89.6	84.07	
1312395822.05791	90	89.58	84.15	
1312395823.01791	90	89.65	84.15	
1312395823.97786	90	89.65	84.15	
1312395824.93386	90	89.67	84.25	
1312395825.88985	90	89.66	84.22	
1312395826.84588	90	89.7	84.28	
1312395827.80189	90	89.68	84.29	
1312395828.75786	90	89.72	84.39	
1312395829.71388	90	89.74	84.41	
1312395830.66986	90	89.76	84.49	
1312395831.62585	90	89.74	84.48	
1312395832.68992	90	89.75	84.3	
1312395833.64591	90	89.77	84.27	
1312395834.6019	90	89.78	84.32	
1312395835.55789	90	89.8	84.37	
1312395836.51387	90	89.77	84.3	
1312395837.46989	90	89.8	84.37	
1312395838.42591	90	89.83	84.46	
1312395839.38191	90	89.81	84.5	
1312395840.33786	90	89.83	84.46	
1312395841.29786	90	89.83	84.43	
1312395842.25792	90	89.83	84.48	
1312395843.35389	90	89.84	84.46	
1312395844.31389	90	89.86	84.5	
1312395845.26987	90	89.86	84.42	
1312395846.22586	90	89.88	84.47	
1312395847.18185	90	89.87	84.34	
1312395848.13785	90	89.9	84.46	
1312395849.09392	90	89.91	84.57	
1312395850.04986	90	89.91	84.72	
1312395851.00986	90	89.92	84.71	
1312395851.96986	90	89.89	84.78	
1312395853.03086	90	89.92	84.78	
1312395853.98991	90	89.92	84.7	
1312395854.94586	90	89.96	84.87	
1312395855.90185	90	89.91	84.71	
1312395856.85786	90	89.97	84.67	
1312395857.81387	90	89.93	84.7	
1312395858.76986	90	89.93	84.52	
1312395859.7259	90	89.95	84.55	
1312395860.6819	90	89.93	84.73	
1312395861.6379	90	89.96	84.83	
1312395862.59392	90	89.95	84.6	
1312395863.69389	90	89.97	84.66	
1312395864.64989	90	90.01	84.83	
1312395865.6059	90	90.01	84.96	
1312395866.56187	90	90	85.03	
1312395867.51785	90	90	85.06	
1312395868.47785	90	89.97	85.06	
1312395869.43791	90	90	85.07	
1312395870.39388	90	90	84.87	
1312395871.34985	90	90.03	84.97	
1312395872.30585	90	90.01	84.93	
1312395873.26193	90	90	84.95	
1312395874.21788	90	90.06	85.12	
1312395875.17386	90	90	85.03	
1312395876.12985	90	89.98	85	
1312395877.08986	90	89.98	84.97	
1312395878.04987	90	90	84.98	
1312395879.00586	90	89.99	84.91	
1312395879.96187	90	90.01	84.84	
1312395880.91786	90	90.03	84.93	
1312395881.87385	90	90.01	85.08	
1312395882.82986	90	90.03	85.1	
1312395883.89385	90	90.02	84.98	
1312395884.84987	90	90.05	84.97	
1312395885.80585	90	90.03	85.02	
1312395886.76186	90	90.02	84.73	
1312395887.71786	90	90.05	84.8	
1312395888.67388	90	90.02	84.87	
1312395889.62987	90	90.05	84.94	
1312395890.58586	90	90.03	84.83	
1312395891.54185	90	90.05	84.8	
1312395892.50186	90	90.05	84.9	
1312395893.46185	90	90.05	84.81	
1312395894.54991	90	90.06	84.82	
1312395895.50989	90	90.05	85.06	
1312395896.46986	90	90.06	85.18	
1312395897.42985	90	90.05	84.94	
1312395898.38586	90	90.03	84.85	
1312395899.34186	90	90.03	84.91	
1312395900.29785	90	90.02	85.01	
1312395901.25386	90	90.06	84.97	
1312395902.21391	90	90.03	85.06	
1312395903.1739	90	90.03	85.03	
1312395904.23091	90	90.06	85.06	
1312395905.18987	90	90.05	85.12	
1312395906.14986	90	90.06	85.16	
1312395907.10585	90	90.07	84.97	
1312395908.06186	90	90.06	85.05	
1312395909.01786	90	90.05	84.98	
1312395909.97385	90	90.05	84.97	
1312395910.92984	90	90.06	84.97	
1312395911.88586	90	90.02	84.77	
1312395912.84185	90	90.05	84.7	
1312395913.79786	90	90.03	84.69	
1312395914.88992	90	90.05	84.95	
1312395915.84986	90	90.05	85.06	
1312395916.80586	90	90.05	85.04	
1312395917.76186	90	90.06	85.17	
1312395918.72186	90	90.07	85.15	
1312395919.68187	90	90.05	85.21	
1312395920.6419	90	90.06	85.12	
1312395921.59787	90	90.05	85.03	
1312395922.55386	90	90.08	85.06	
1312395923.50984	90	90.03	84.96	
1312395924.46592	90	90.05	84.67	
